datetime,id,value
1604358000,5,0.042
1604358000,6,0.0
1604358000,9,0.003
1604358900,2,0.029
1604358900,3,0.038
1604358900,5,0.053
1604358900,6,0.0
1604358900,9,0.089
1604359800,2,0.024
1604359800,3,0.038
1604359800,5,0.061
1604359800,6,0.0
1604359800,9,0.039
1604360700,2,0.037
1604360700,3,0.038
1604360700,5,0.753
1604360700,6,0.0
1604360700,9,0.069
1604361600,2,0.026
1604361600,3,0.038
1604361600,5,0.119
1604361600,6,0.0
1604361600,9,0.032
1604362500,2,0.027
1604362500,3,0.038
1604362500,5,0.065
1604362500,6,0.0
1604362500,9,0.091
1604363400,2,0.043
1604363400,3,0.038
1604363400,5,0.042
1604363400,6,0.0
1604363400,9,0.055
1604364300,2,0.049
1604364300,3,0.038
1604364300,5,0.05
1604364300,6,0.0
1604364300,9,0.06
1604365200,2,0.036
1604365200,3,0.038
1604365200,5,0.081
1604365200,6,0.0
1604365200,9,0.045
1604366100,2,0.052
1604366100,3,0.038
1604366100,5,0.061
1604366100,6,0.0
1604366100,9,0.053
1604367000,2,0.049
1604367000,3,0.038
1604367000,5,0.045
1604367000,6,0.0
1604367000,9,0.09
1604367900,2,0.043
1604367900,3,0.039
1604367900,5,0.027
1604367900,6,0.0
1604367900,9,0.033
1604368800,2,0.026
1604368800,3,0.038
1604368800,5,0.05
1604368800,6,0.0
1604368800,9,0.064
1604369700,2,0.035
1604369700,3,0.039
1604369700,5,0.027
1604369700,6,0.0
1604369700,9,0.038
1604370600,2,0.035
1604370600,3,0.038
1604370600,5,0.018
1604370600,6,0.0
1604370600,9,0.084
1604371500,2,0.021
1604371500,3,0.039
1604371500,5,0.03
1604371500,6,0.0
1604371500,9,0.058
1604372400,2,0.038
1604372400,3,0.038
1604372400,5,0.05
1604372400,6,0.0
1604372400,9,0.029
1604373300,2,0.032
1604373300,3,0.039
1604373300,5,0.034
1604373300,6,0.0
1604373300,9,0.052
1604374200,2,0.018
1604374200,3,0.038
1604374200,5,0.02
1604374200,6,0.0
1604374200,9,0.042
1604375100,2,0.028
1604375100,3,0.039
1604375100,5,0.032
1604375100,6,0.0
1604375100,9,0.042
1604376000,2,0.013
1604376000,3,0.038
1604376000,5,0.036
1604376000,6,0.0
1604376000,9,0.011
1604376900,2,0.019
1604376900,3,0.038
1604376900,5,0.017
1604376900,6,0.0
1604376900,9,0.01
1604377800,2,0.026
1604377800,3,0.039
1604377800,5,0.01
1604377800,6,0.0
1604377800,9,0.026
1604378700,2,0.012
1604378700,3,0.038
1604378700,5,0.02
1604378700,6,0.0
1604378700,9,0.034
1604379600,2,0.019
1604379600,3,0.039
1604379600,5,0.029
1604379600,6,0.0
1604379600,9,0.033
1604380500,2,0.025
1604380500,3,0.038
1604380500,5,0.015
1604380500,6,0.0
1604380500,9,0.0
1604381400,2,0.013
1604381400,3,0.039
1604381400,5,0.012
1604381400,6,0.0
1604381400,9,0.027
1604382300,2,0.017
1604382300,3,0.039
1604382300,5,0.021
1604382300,6,0.0
1604382300,9,0.032
1604383200,2,0.025
1604383200,3,0.038
1604383200,5,0.025
1604383200,6,0.0
1604383200,9,0.014
1604384100,2,0.015
1604384100,3,0.039
1604384100,5,0.015
1604384100,6,0.0
1604384100,9,0.032
1604385000,2,0.014
1604385000,3,0.038
1604385000,5,0.014
1604385000,6,0.0
1604385000,9,0.0
1604385900,2,0.023
1604385900,3,0.039
1604385900,5,0.022
1604385900,6,0.0
1604385900,9,0.028
1604386800,2,0.015
1604386800,3,0.039
1604386800,5,0.022
1604386800,6,0.0
1604386800,9,0.043
1604387700,2,0.011
1604387700,3,0.038
1604387700,5,0.015
1604387700,6,0.0
1604387700,9,0.001
1604388600,2,0.022
1604388600,3,0.039
1604388600,5,0.015
1604388600,6,0.0
1604388600,9,0.034
1604389500,2,0.017
1604389500,3,0.038
1604389500,5,0.024
1604389500,6,0.0
1604389500,9,0.0
1604390400,2,0.008
1604390400,3,0.039
1604390400,5,0.019
1604390400,6,0.0
1604390400,9,0.034
1604391300,2,0.022
1604391300,3,0.039
1604391300,5,0.016
1604391300,6,0.0
1604391300,9,0.038
1604392200,2,0.02
1604392200,3,0.032
1604392200,5,0.015
1604392200,6,0.0
1604392200,9,0.0
1604393100,2,0.007
1604393100,3,0.001
1604393100,5,0.024
1604393100,6,0.0
1604393100,9,0.034
1604394000,2,0.02
1604394000,3,0.0
1604394000,5,0.019
1604394000,6,0.0
1604394000,9,0.0
1604394900,2,0.021
1604394900,3,0.0
1604394900,5,0.015
1604394900,6,0.0
1604394900,9,0.029
1604395800,2,0.008
